Entity1,Entity2,Article_1_News,Article_2_News,Date_Difference,SBERT_Similarity
"['am', '##eric', '##an']","['m', '##c', '##don', '##ald']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,mcdonald deal set low for bond rate,120,0.38093164563179016
"['am', '##eric', '##an']","['euro', '##pe']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury edge higher european banking worry,161,0.2402624934911728
"['am', '##eric', '##an']","['c', '##iti', 'de', '##xia']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,citi win mandate sole usd treasury clearer for the dexia group,210,0.24979786574840546
"['am', '##eric', '##an']","['##erman', '##y']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury bond gain yield seen testing month lowsvolcanic ash cloud clearing nears germany,419,0.3962620794773102
"['am', '##eric', '##an']","['euro', '##pe']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury european worry push key yield below pct,467,0.2402624934911728
"['am', '##eric', '##an']","['a', '##f', '##rica']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,africa bond extend gain yield sharply down,497,0.24952074885368347
"['am', '##eric', '##an']","['g', '##erman']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury bond extend fall after german parliament news,574,0.36309587955474854
"['am', '##eric', '##an']","['euro', '##pe']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury bond fall hope european debt solution,574,0.2402624934911728
"['am', '##eric', '##an']","['at', '##lant', '##a']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,atlanta tower set for foreclosure auction,652,0.3895130753517151
"['am', '##eric', '##an']","['m', '##c', '##don', '##ald']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,mcdonald reclaims year bond yield record,673,0.38093164563179016
"['am', '##eric', '##an']","['be', '##rna', '##nk', '##e']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,bernanke comment damp treasury,700,0.2517213225364685
"['am', '##eric', '##an']","['##ils', '##k']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,norilsk nickel may retire treasury share potanin,792,0.2779366672039032
"['am', '##eric', '##an']","['g', '##erman']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,corrected treasury yield rise after german court ruling before supply,896,0.36309587955474854
"['am', '##eric', '##an']","['g', '##erman']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury price fall german court ruling year sale,896,0.36309587955474854
"['am', '##eric', '##an']","['##ac', '##ific', 'k', '##rum']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,pacific life tom gibbon and joseph krum assume additional corporate treasury responsibility,896,0.30483755469322205
"['am', '##eric', '##an']","['alliance', '##ber', '##nstein']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,alliancebernstein liquidates public private investment partnership internal rate return for treasury,923,0.32976019382476807
"['am', '##eric', '##an']","['am', '##eric', '##an']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury bond tread water american vote tight race,951,1.0
"['am', '##eric', '##an']","['be', '##rna', '##nk']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,treasury yield near month low bernanke defends bond buy,1063,0.2181771993637085
"['am', '##eric', '##an']","['g', '##if']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,jim gifas head rb citizen treasury solution named elite bank system technology,1294,0.27624285221099854
"['am', '##eric', '##an']","['nor', '##tel']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,nortel put sale proceeds treasury while creditor fight,1428,0.3296635150909424
"['am', '##eric', '##an']","['black', 'th']",archive international auction historic american bank note archive including worldwide banknote stock bond and security printing ephemera,blackrock thiel say periphery bond holding lowest year,1518,0.24463683366775513
